"eta","max_depth","min_child_weight","subsample","colsample_bytree","avg_brier","avg_accuracy","avg_upset_recall","beats_naive"
0.003,3,8,0.6,0.6,0.1932,0.709,0.385,10
0.005,3,8,0.6,0.6,0.1932,0.712,0.385,10
0.003,3,10,0.6,0.6,0.1932,0.709,0.418,10
0.008,3,10,0.6,0.6,0.1933,0.709,0.394,10
0.01,2,8,0.6,0.6,0.1935,0.72,0.426,10
0.008,2,10,0.7,0.7,0.1935,0.709,0.388,10
0.008,3,15,0.7,0.7,0.1936,0.701,0.385,10
0.005,2,8,0.7,0.6,0.1937,0.711,0.395,10
0.003,2,8,0.7,0.7,0.1938,0.711,0.397,10
0.003,2,8,0.7,0.6,0.1939,0.704,0.394,10
0.003,2,10,0.7,0.6,0.194,0.703,0.392,10
0.005,2,10,0.7,0.6,0.1941,0.714,0.407,10
0.005,2,8,0.7,0.7,0.1941,0.711,0.419,10
0.01,2,15,0.7,0.6,0.1942,0.709,0.395,10
0.003,3,10,0.7,0.6,0.1944,0.704,0.391,10
0.008,3,8,0.6,0.7,0.1945,0.711,0.403,10
0.01,3,8,0.6,0.7,0.1945,0.719,0.425,10
0.01,2,10,0.7,0.6,0.1946,0.715,0.387,10
0.01,3,8,0.6,0.6,0.1948,0.725,0.404,10
0.01,3,15,0.7,0.6,0.1948,0.711,0.397,10
0.008,3,8,0.6,0.6,0.1949,0.719,0.38,10
0.01,2,10,0.7,0.7,0.1949,0.706,0.385,10
0.005,3,10,0.7,0.6,0.1951,0.704,0.4,10
0.008,2,10,0.7,0.6,0.1954,0.719,0.383,10
0.008,2,8,0.7,0.7,0.1954,0.715,0.432,10
0.01,2,8,0.7,0.7,0.1961,0.711,0.402,10
0.008,2,8,0.7,0.6,0.1963,0.722,0.395,10
0.003,3,8,0.6,0.7,0.1964,0.704,0.397,10
0.01,3,10,0.7,0.6,0.1966,0.719,0.4,10
0.005,3,8,0.6,0.7,0.1967,0.707,0.392,10
0.01,2,8,0.7,0.6,0.1968,0.715,0.383,10
0.008,3,10,0.7,0.6,0.1972,0.709,0.405,10
0.003,3,8,0.7,0.7,0.1982,0.711,0.4,10
0.01,3,8,0.7,0.7,0.1988,0.719,0.425,10
0.005,3,8,0.7,0.7,0.2001,0.696,0.394,10
0.003,3,8,0.7,0.6,0.2003,0.699,0.408,10
0.008,3,8,0.7,0.7,0.2012,0.703,0.399,10
0.005,3,8,0.7,0.6,0.2022,0.695,0.398,10
0.01,3,8,0.7,0.6,0.2031,0.709,0.41,10
0.008,3,8,0.7,0.6,0.2042,0.707,0.408,10
