"hSeedTeam","lSeedTeam","hSeed","lSeed","CURRENT ROUND","hSeed_won","year","Pred_Prob","Pred_Win","Correct","Actual_Result"
"Colorado","Connecticut",8,9,64,0,2016,0.1747,0,1,"Upset"
"Maryland","South Dakota St.",5,12,64,1,2016,0.9464,1,1,"Favored Won"
"California","Hawaii",4,13,64,0,2016,0.4412,0,1,"Upset"
"Arizona","Wichita St.",6,11,64,0,2016,0.3414,0,1,"Upset"
"Miami FL","Buffalo",3,14,64,1,2016,0.9568,1,1,"Favored Won"
"Iowa","Temple",7,10,64,1,2016,0.6653,1,1,"Favored Won"
"Villanova","UNC Asheville",2,15,64,1,2016,0.9483,1,1,"Favored Won"
"Oregon","Holy Cross",1,16,64,1,2016,0.9006,1,1,"Favored Won"
"Saint Joseph's","Cincinnati",8,9,64,1,2016,0.6848,1,1,"Favored Won"
"Baylor","Yale",5,12,64,0,2016,0.6666,1,0,"Upset"
"Duke","UNC Wilmington",4,13,64,1,2016,0.9488,1,1,"Favored Won"
"Texas","Northern Iowa",6,11,64,0,2016,0.4012,0,1,"Upset"
"Texas A&M","Green Bay",3,14,64,1,2016,0.9669,1,1,"Favored Won"
"Oregon St.","VCU",7,10,64,0,2016,0.6761,1,0,"Upset"
"Oklahoma","Cal St. Bakersfield",2,15,64,1,2016,0.952,1,1,"Favored Won"
"North Carolina","Florida Gulf Coast",1,16,64,1,2016,0.9359,1,1,"Favored Won"
"USC","Providence",8,9,64,0,2016,0.6147,1,0,"Upset"
"Indiana","Chattanooga",5,12,64,1,2016,0.6964,1,1,"Favored Won"
"Kentucky","Stony Brook",4,13,64,1,2016,0.9298,1,1,"Favored Won"
"Notre Dame","Michigan",6,11,64,1,2016,0.2018,0,0,"Favored Won"
"West Virginia","Stephen F. Austin",3,14,64,0,2016,0.9577,1,0,"Upset"
"Wisconsin","Pittsburgh",7,10,64,1,2016,0.684,1,1,"Favored Won"
"Xavier","Weber St.",2,15,64,1,2016,0.9569,1,1,"Favored Won"
"Virginia","Hampton",1,16,64,1,2016,0.7628,1,1,"Favored Won"
"Texas Tech","Butler",8,9,64,0,2016,0.221,0,1,"Upset"
